tipo;codigo;nome;unid;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
MATERIAL;399;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E PARAFUSO DE FIXACAO";UN;10,02;7,68;12,43;13,78;8,11;13,32;7,86;8,32;5,49;11,83;6,83;11,93;8,85;9,91;9,21;10,27;10,62;9,56;8,85;10,13;12,75;10,41;10,87;4,46;5,84;7,40;9,63
MATERIAL;39158;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO ECONOMICA (GOTA), COM 8""";UN;26,91;20,63;33,38;36,99;21,77;35,76;21,11;22,35;14,74;31,76;18,35;32,05;23,77;26,62;24,72;27,58;28,53;25,67;23,77;27,20;34,23;27,96;29,19;11,98;15,69;19,87;25,86
MATERIAL;39141;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1 1/2""";UN;1,95;1,50;2,42;2,68;1,58;2,60;1,53;1,62;1,07;2,30;1,33;2,33;1,72;1,93;1,79;2,00;2,07;1,86;1,72;1,97;2,48;2,03;2,12;0,87;1,14;1,44;1,88
MATERIAL;39140;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1 1/4""";UN;1,77;1,36;2,20;2,44;1,43;2,36;1,39;1,47;0,97;2,09;1,21;2,11;1,56;1,75;1,63;1,82;1,88;1,69;1,56;1,79;2,25;1,84;1,92;0,79;1,03;1,31;1,70
MATERIAL;39139;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1""";UN;1,47;1,13;1,82;2,02;1,19;1,96;1,15;1,22;0,80;1,74;1,00;1,75;1,30;1,45;1,35;1,51;1,56;1,40;1,30;1,49;1,87;1,53;1,60;0,65;0,86;1,08;1,41
MATERIAL;39137;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1/2""";UN;1,02;0,78;1,26;1,40;0,82;1,35;0,80;0,84;0,56;1,20;0,69;1,21;0,90;1,01;0,94;1,04;1,08;0,97;0,90;1,03;1,30;1,06;1,11;0,45;0,59;0,75;0,98
MATERIAL;39143;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 2 1/2""";UN;4,03;3,09;5,00;5,54;3,26;5,35;3,16;3,34;2,20;4,76;2,75;4,80;3,56;3,99;3,70;4,13;4,27;3,84;3,56;4,07;5,13;4,19;4,37;1,79;2,35;2,97;3,87
MATERIAL;39142;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 2""";UN;2,89;2,21;3,58;3,97;2,33;3,84;2,26;2,40;1,58;3,41;1,97;3,44;2,55;2,85;2,65;2,96;3,06;2,75;2,55;2,92;3,67;3,00;3,13;1,28;1,68;2,13;2,77
MATERIAL;39144;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3""";UN;4,69;3,60;5,82;6,45;3,80;6,24;3,68;3,90;2,57;5,54;3,20;5,59;4,14;4,64;4,31;4,81;4,97;4,48;4,14;4,74;5,97;4,87;5,09;2,09;2,73;3,46;4,51
MATERIAL;39138;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3/4""";UN;1,08;0,83;1,34;1,48;0,87;1,43;0,85;0,89;0,59;1,27;0,73;1,29;0,95;1,07;0,99;1,11;1,14;1,03;0,95;1,09;1,37;1,12;1,17;0,48;0,63;0,80;1,04
MATERIAL;39136;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3/8""";UN;0,72;0,55;0,89;0,99;0,58;0,95;0,56;0,59;0,39;0,85;0,49;0,86;0,63;0,71;0,66;0,74;0,76;0,68;0,63;0,73;0,91;0,75;0,78;0,32;0,42;0,53;0,69
MATERIAL;39145;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 4""";UN;7,73;5,93;9,59;10,63;6,26;10,28;6,06;6,42;4,23;9,13;5,27;9,21;6,83;7,65;7,10;7,92;8,20;7,38;6,83;7,81;9,84;8,03;8,39;3,44;4,51;5,71;7,43
MATERIAL;12615;ABRACADEIRA PVC, PARA CALHA PLUVIAL, DIAMETRO ENTRE *80 E 100* MM, PARA DRENAGEM PLUVIAL PREDIAL;UN;13,98;12,54;11,06;9,08;9,80;12,58;12,46;16,37;13,30;11,26;12,04;13,08;12,95;14,55;11,75;11,22;10,57;12,06;13,66;11,75;13,99;11,48;13,09;11,82;10,91;13,50;12,53
MATERIAL;11927;"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA FITA *12,6 A *14 MM, D = 2"" A 2 1/2""";UN;;7,70;;9,45;7,77;9,85;;;;;9,31;8,95;7,52;9,31;;11,39;;6,98;10,38;;8,81;;;9,67;;8,59;
MATERIAL;11928;"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA FITA *12,6 A *14 MM, D = 3"" A 3 3/4""";UN;;8,82;;10,83;8,90;11,28;;;;;10,67;10,26;8,61;10,67;;13,05;;8,00;11,90;;10,09;;;11,08;;9,85;
MATERIAL;11929;"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA FITA *12,6 A *14 MM, D = 4"" A 4 3/4""";UN;;13,64;;16,75;13,77;17,45;;;;;16,50;15,86;13,33;16,50;;20,18;;12,37;18,40;;15,61;;;17,13;;15,23;
MATERIAL;36801;"ACABAMENTO DE METAL CROMADO PARA REGISTRO PEQUENO, DE PAREDE, 1/2"" OU 3/4""";UN;27,76;35,98;55,69;67,98;38,01;33,08;34,25;26,34;41,36;51,92;33,81;37,15;40,84;20,07;36,98;38,61;39,14;32,55;35,47;26,91;38,23;31,63;56,76;50,36;34,30;29,17;40,24
MATERIAL;36246;"ACABAMENTO SIMPLES/CONVENCIONAL PARA FORRO PVC, TIPO ""U"" OU ""C"", COR BRANCA, COMPRIMENTO 6 M";M;3,03;5,61;4,01;4,59;3,69;;3,52;3,69;3,26;4,00;3,85;5,24;4,03;4,08;3,42;3,99;4,50;4,91;5,41;3,83;4,72;4,53;5,16;3,81;4,39;4,26;4,01
MATERIAL;37600;ACESSORIO DE LIGACAO NAO ELETRICO PARA CARGAS EXPLOSIVAS, TUBO DE 6 M;UN;;;;;;;;;;;;;;;;;;;;;;;;;;104,86;
MATERIAL;37599;ACESSORIO INICIADOR NAO ELETRICO, TUBO DE 6 M, TEMPO DE RETARDO DE *160* MS;UN;;;;;;;;;;;;;;;;;;;;;;;;;;97,60;
MATERIAL;1;ACETILENO - RECARGA DE GAS PARA CILINDRO (NAO INCLUI TROCA/MANUTENCAO DO CILINDRO);KG;;122,89;;;152,78;90,35;;95,00;73,33;;90,00;100,00;119,64;;94,44;;;100,00;;;;;109,33;87,98;166,25;104,50;
MATERIAL;3;ACIDO CLORIDRICO / ACIDO MURIATICO, DILUICAO 10% A 12% PARA USO EM LIMPEZA;L;18,50;22,11;17,16;16,41;16,01;19,66;13,29;15,19;17,43;16,70;20,99;14,19;16,59;16,70;14,72;23,68;24,24;16,08;17,64;18,00;17,03;19,27;18,96;16,70;20,65;17,16;18,07
MATERIAL;43054;ACO CA-25, 10,0 MM, OU 12,5 MM, OU 16,0 MM, OU 20,0 MM, OU 25,0 MM, VERGALHAO;KG;11,18;10,53;9,76;10,63;7,66;8,97;8,51;9,77;7,84;9,55;8,11;8,89;8,95;9,66;8,87;8,64;8,53;8,62;9,13;9,56;10,93;10,37;9,76;8,21;9,82;8,09;8,27
MATERIAL;42402;ACO CA-25, 16,0 MM, BARRA DE TRANSFERENCIA;KG;10,68;10,06;9,33;10,16;7,32;8,57;8,13;9,34;7,49;9,13;7,75;8,50;8,56;9,23;8,47;8,26;8,15;8,24;8,72;9,14;10,44;9,91;9,33;7,85;9,39;7,73;7,91
MATERIAL;42403;ACO CA-25, 20,0 MM, BARRA DE TRANSFERENCIA;KG;13,70;12,91;11,97;13,03;9,40;10,99;10,43;11,98;9,61;11,71;9,94;10,90;10,98;11,84;10,87;10,60;10,46;10,57;11,19;11,72;13,40;12,71;11,97;10,06;12,04;9,91;10,14
MATERIAL;42404;ACO CA-25, 25,0 MM, BARRA DE TRANSFERENCIA;KG;13,62;12,84;11,90;12,96;9,34;10,93;10,37;11,91;9,56;11,64;9,89;10,84;10,92;11,78;10,81;10,54;10,40;10,51;11,13;11,66;13,32;12,64;11,90;10,01;11,98;9,86;10,08
MATERIAL;42405;ACO CA-25, 32,0 MM, BARRA DE TRANSFERENCIA;KG;14,51;13,67;12,68;13,80;9,95;11,64;11,05;12,69;10,18;12,40;10,53;11,55;11,63;12,55;11,52;11,23;11,08;11,19;11,85;12,42;14,19;13,47;12,68;10,66;12,76;10,50;10,74
MATERIAL;34341;ACO CA-25, 32,0 MM, VERGALHAO;KG;12,60;11,87;11,00;11,98;8,64;10,11;9,59;11,02;8,83;10,76;9,14;10,02;10,09;10,89;9,99;9,74;9,62;9,72;10,29;10,78;12,32;11,69;11,00;9,25;11,07;9,11;9,32
MATERIAL;43053;ACO CA-25, 6,3 MM OU 8,0 MM, VERGALHAO;KG;9,98;9,41;8,72;9,49;6,85;8,01;7,60;8,73;7,00;8,53;7,24;7,94;8,00;8,63;7,92;7,72;7,62;7,70;8,15;8,54;9,76;9,26;8,72;7,33;8,77;7,22;7,39
MATERIAL;43058;ACO CA-50, 10,0 MM, OU 12,5 MM, OU 16,0 MM, OU 20,0 MM, DOBRADO E CORTADO;KG;10,35;9,75;9,04;9,84;7,10;8,30;7,88;9,05;7,26;8,84;7,51;8,24;8,29;8,95;8,21;8,01;7,90;7,98;8,45;8,86;10,12;9,60;9,04;7,60;9,10;7,49;7,66
MATERIAL;34;ACO CA-50, 10,0 MM, VERGALHAO;KG;10,40;9,80;9,08;9,89;7,13;8,35;7,92;9,10;7,29;8,89;7,55;8,28;8,33;8,99;8,25;8,04;7,94;8,02;8,50;8,90;10,17;9,65;9,08;7,64;9,14;7,53;7,70
MATERIAL;43055;ACO CA-50, 12,5 MM OU 16,0 MM, VERGALHAO;KG;9,01;8,49;7,87;8,57;6,18;7,23;6,86;7,88;6,32;7,70;6,54;7,17;7,22;7,79;7,15;6,97;6,88;6,95;7,36;7,71;8,81;8,36;7,87;6,62;7,92;6,52;6,67
MATERIAL;43056;ACO CA-50, 20,0 MM OU 25,0 MM, VERGALHAO;KG;10,39;9,79;9,07;9,88;7,12;8,33;7,91;9,08;7,29;8,88;7,54;8,27;8,32;8,98;8,24;8,04;7,93;8,01;8,48;8,89;10,16;9,64;9,07;7,63;9,13;7,52;7,69
MATERIAL;43057;ACO CA-50, 32,0 MM, VERGALHAO;KG;11,42;10,76;9,97;10,86;7,83;9,16;8,69;9,98;8,01;9,76;8,29;9,08;9,15;9,87;9,06;8,83;8,72;8,80;9,32;9,77;11,16;10,59;9,97;8,39;10,03;8,26;8,45
MATERIAL;34449;ACO CA-50, 6,3 MM, DOBRADO E CORTADO;KG;12,20;11,50;10,66;11,61;8,37;9,79;9,29;10,67;8,56;10,43;8,86;9,71;9,78;10,55;9,68;9,44;9,32;9,41;9,97;10,44;11,93;11,32;10,66;8,96;10,73;8,83;9,03
MATERIAL;32;ACO CA-50, 6,3 MM, VERGALHAO;KG;10,97;10,34;9,58;10,44;7,52;8,80;8,35;9,60;7,69;9,38;7,96;8,73;8,79;9,49;8,71;8,49;8,38;8,46;8,96;9,39;10,73;10,18;9,58;8,06;9,64;7,94;8,12
MATERIAL;33;ACO CA-50, 8,0 MM, VERGALHAO;KG;11,04;10,40;9,64;10,50;7,57;8,85;8,40;9,65;7,74;9,43;8,01;8,78;8,84;9,54;8,76;8,54;8,43;8,51;9,01;9,44;10,79;10,24;9,64;8,11;9,70;7,98;8,17
MATERIAL;43061;ACO CA-60, 4,2 MM OU 5,0 MM, DOBRADO E CORTADO;KG;10,31;9,72;9,01;9,81;7,07;8,27;7,85;9,02;7,23;8,81;7,48;8,21;8,26;8,92;8,18;7,98;7,87;7,95;8,42;8,82;10,08;9,57;9,01;7,58;9,06;7,46;7,63
MATERIAL;43059;ACO CA-60, 4,2 MM, OU 5,0 MM, OU 6,0 MM, OU 7,0 MM, VERGALHAO;KG;9,84;9,27;8,60;9,36;6,75;7,90;7,49;8,61;6,90;8,41;7,14;7,83;7,89;8,51;7,81;7,61;7,51;7,59;8,04;8,42;9,62;9,13;8,60;7,23;8,65;7,12;7,29
MATERIAL;43062;ACO CA-60, 6,0 MM OU 7,0 MM, DOBRADO E CORTADO;KG;10,91;10,28;9,53;10,38;7,48;8,75;8,30;9,54;7,65;9,32;7,92;8,68;8,74;9,43;8,66;8,44;8,33;8,41;8,91;9,33;10,67;10,12;9,53;8,01;9,59;7,89;8,07
MATERIAL;43060;ACO CA-60, 8,0 MM OU 9,5 MM, VERGALHAO;KG;8,57;8,08;7,49;8,15;5,88;6,88;6,53;7,50;6,01;7,33;6,22;6,82;6,87;7,41;6,80;6,63;6,55;6,61;7,00;7,34;8,38;7,95;7,49;6,30;7,54;6,20;6,35
MATERIAL;40410;"ACOPLAMENTO RIGIDO EM FERRO FUNDIDO PARA SISTEMA DE TUBULACAO RANHURADA, DN 50 MM (2"")";UN;;;;;45,00;;;;;;;;;;;;;;;;;;;;;20,49;
MATERIAL;40411;"ACOPLAMENTO RIGIDO EM FERRO FUNDIDO PARA SISTEMA DE TUBULACAO RANHURADA, DN 65 MM (2 1/2"")";UN;;;;;48,84;;;;;;;;;;;;;;;;;;;;;22,23;
MATERIAL;40412;"ACOPLAMENTO RIGIDO EM FERRO FUNDIDO PARA SISTEMA DE TUBULACAO RANHURADA, DN 80 MM (3"")";UN;;;;;54,81;;;;;;;;;;;;;;;;;;;;;24,95;
MATERIAL;44254;ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 15 MM, CAIXA D'AGUA PARA AGUA QUENTE;UN;33,76;;;;28,30;30,23;28,73;35,26;27,38;;33,52;32,53;30,04;28,90;26,10;28,93;;30,09;29,00;26,63;34,12;;34,51;24,16;;29,89;
MATERIAL;44255;ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 22 MM, CAIXA D'AGUA PARA AGUA QUENTE;UN;37,42;;;;31,37;33,51;31,85;39,08;30,35;;37,15;36,05;33,29;32,03;28,93;32,06;;33,35;32,14;29,52;37,82;;38,25;26,78;;33,13;
MATERIAL;44256;ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 28 MM, CAIXA D'AGUA PARA AGUA QUENTE;UN;42,26;;;;35,43;37,85;35,97;44,14;34,28;;41,96;40,72;37,60;36,18;32,67;36,21;;37,66;36,30;33,34;42,72;;43,20;30,25;;37,42;
MATERIAL;44257;ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 35 MM, CAIXA D'AGUA PARA AGUA QUENTE;UN;66,86;;;;56,05;59,88;56,91;69,83;54,23;;66,39;64,42;59,49;57,24;51,69;57,29;;59,59;57,43;52,74;67,58;;68,35;47,86;;59,21;
MATERIAL;44258;ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 42 MM, CAIXA D'AGUA PARA AGUA QUENTE;UN;76,42;;;;64,05;68,43;65,04;79,81;61,97;;75,87;73,63;67,99;65,42;59,07;65,47;;68,10;65,64;60,28;77,24;;78,11;54,70;;67,66;
MATERIAL;44259;ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 54 MM, CAIXA D'AGUA PARA AGUA QUENTE;UN;104,89;;;;87,92;93,93;89,27;109,54;85,07;;104,14;101,06;93,33;89,80;81,09;89,87;;93,48;90,10;82,74;106,01;;107,22;75,08;;92,87;
MATERIAL;37997;ADAPTADOR CPVC, SOLDAVEL, 15 MM, PARA AGUA QUENTE;UN;20,12;;;;16,86;18,01;17,12;21,01;16,31;;19,97;19,38;17,90;17,22;15,55;17,24;;17,93;17,28;15,87;20,33;;20,56;14,40;;17,81;
MATERIAL;37998;ADAPTADOR CPVC, SOLDAVEL, 22 MM, PARA AGUA QUENTE;UN;26,92;;;;22,57;24,11;22,92;28,12;21,84;;26,73;25,94;23,96;23,05;20,81;23,07;;23,99;23,13;21,24;27,21;;27,52;19,27;;23,84;
MATERIAL;55;"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 20 MM X 1/2"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)";UN;;;;;;;;;;;4,50;;;;;;;;;;;;6,89;;;4,00;
MATERIAL;61;"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 20 MM X 3/4"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)";UN;;;;;;;;;;;4,25;;;;;;;;;;;;6,52;;;3,78;
MATERIAL;62;"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 32 MM X 1"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)";UN;;;;;;;;;;;8,82;;;;;;;;;;;;13,50;;;7,84;
MATERIAL;10899;"ADAPTADOR EM LATAO, ENGATE RAPIDO 2 1/2"" X ROSCA INTERNA 5 FIOS 2 1/2"", PARA INSTALACAO PREDIAL DE COMBATE A INCENDIO";UN;72,28;116,09;96,81;;127,09;89,37;83,23;83,23;;125,29;67,90;78,85;63,29;70,09;87,61;99,66;71,27;125,29;95,50;;53,02;;72,28;52,57;;144,57;
